Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656f9e7149d8c6715cfbb9ce,5e35f6e32878165acc962c79,AWAITING REVIEW,2023-12-05T22:04:39.854000Z,2023-12-05T22:26:26.865000Z,,2023-12-05T22:26:27.324763Z,1308.0,NOCODE,259,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
656f9fd967ad9b5ccaeff2f9,654e3b2a1d5b25b892be6421,AWAITING REVIEW,2023-12-05T22:10:40.125000Z,2023-12-05T22:37:58.429000Z,,2023-12-05T22:37:58.867857Z,1639.0,NOCODE,32,50,Male,White,Canada,Canada,Canada,English,No,Other
656fa019ebb52c7019b43e7e,602660bbefd9642c772d2290,AWAITING REVIEW,2023-12-05T22:11:48.134000Z,2023-12-05T22:47:49.185000Z,,2023-12-05T22:47:49.654763Z,2162.0,NOCODE,575,45,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
656fa0516660e185c0504e6d,6558e1d7dd30b28341934dd5,AWAITING REVIEW,2023-12-05T22:13:07.701000Z,2023-12-05T22:45:35.559000Z,,2023-12-05T22:45:36.035979Z,1948.0,NOCODE,5,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
656fa05322539765e29cf558,6022e90eaccb290e2f1b07a2,AWAITING REVIEW,2023-12-05T22:18:57.104000Z,2023-12-05T22:51:55.562000Z,,2023-12-05T22:51:56.208110Z,1979.0,NOCODE,734,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656fa07b0b1083f891dceb51,608c6d95324859d86b0cb598,AWAITING REVIEW,2023-12-05T22:13:25.197000Z,2023-12-05T22:59:44.373000Z,,2023-12-05T22:59:44.906768Z,2780.0,NOCODE,146,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
656fa0f5e2bebf59cec2f1ae,5d638598d882d6001ab29f56,AWAITING REVIEW,2023-12-05T22:15:25.240000Z,2023-12-05T22:41:06.463000Z,,2023-12-05T22:41:07.138374Z,1542.0,NOCODE,525,40,Female,White,United Kingdom,Australia,United Kingdom,English,No,Part-Time
656fa156adcf30e184065e87,63d9a543aec2bee2ba0197b7,AWAITING REVIEW,2023-12-05T22:16:59.988000Z,2023-12-05T22:28:38.066000Z,,2023-12-05T22:28:38.484267Z,699.0,NOCODE,223,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
656fa1629e233c8f02e07e88,61476925264dc4196cade48a,AWAITING REVIEW,2023-12-05T22:17:15.453000Z,2023-12-05T22:49:05.241000Z,,2023-12-05T22:49:05.790258Z,1910.0,None,98,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
656fa2700684f97b7706f777,5efa4610ae765911b83a2ad5,AWAITING REVIEW,2023-12-05T22:21:40.810000Z,2023-12-05T22:47:29.971000Z,,2023-12-05T22:47:30.454077Z,1550.0,NOCODE,903,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6570d200f809227902a24077,597e0d5f37978a00016b4e6a,AWAITING REVIEW,2023-12-06T19:56:53.854000Z,2023-12-06T20:18:11.489000Z,,2023-12-06T20:18:12.012382Z,1278.0,COQ89QD3,22,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6570d237591c60cd26d2278e,5d27219562a67d0001d18498,AWAITING REVIEW,2023-12-06T19:58:02.612000Z,2023-12-06T20:06:51.460000Z,,2023-12-06T20:06:51.947210Z,529.0,COQ89QD3,331,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6570d244c278b9b3fbdaa80f,5d3e47ba29130a00015cd41d,AWAITING REVIEW,2023-12-06T19:57:56.850000Z,2023-12-06T20:12:00.588000Z,,2023-12-06T20:12:01.076601Z,844.0,COQ89QD3,394,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6570d31b0b90ec698bc6fd19,5ca4ea4e73897b0015de412a,AWAITING REVIEW,2023-12-06T20:01:31.616000Z,2023-12-06T20:18:40.215000Z,,2023-12-06T20:18:40.803334Z,1029.0,COQ89QD3,1442,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6570d363a65a43f8d34745bf,6521481f30a262b361d65b44,AWAITING REVIEW,2023-12-06T20:02:50.427000Z,2023-12-06T20:12:43.299000Z,,2023-12-06T20:12:43.813493Z,593.0,COQ89QD3,27,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6570d3a3117ba01906a77ca1,61420a83da1e231807c9feb1,AWAITING REVIEW,2023-12-06T20:03:57.364000Z,2023-12-06T20:11:30.995000Z,,2023-12-06T20:11:31.476683Z,454.0,COQ89QD3,349,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6570d43ab8359036bf8d8eed,5be742980bedce00010bcf31,AWAITING REVIEW,2023-12-06T20:06:25.333000Z,2023-12-06T20:14:59.784000Z,,2023-12-06T20:15:03.653869Z,515.0,COQ89QD3,1812,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
6570d44015730b0f6ea3572b,59779749d5ddf60001d14bee,AWAITING REVIEW,2023-12-06T20:06:29.938000Z,2023-12-06T20:17:03.675000Z,,2023-12-06T20:17:05.023806Z,634.0,COQ89QD3,1273,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6570d4765a6d2b943074643a,5c50be96d5f934000198d407,AWAITING REVIEW,2023-12-06T20:07:24.610000Z,2023-12-06T20:18:02.516000Z,,2023-12-06T20:18:03.015161Z,638.0,COQ89QD3,205,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6570d4f0c2c4c0f677a108f4,622de589df2ffec783ed21b4,AWAITING REVIEW,2023-12-06T20:09:42.071000Z,2023-12-06T20:41:26.317000Z,,2023-12-06T20:41:26.870762Z,1905.0,COQ89QD3,551,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6570d57c54a36b45109095fc,647090588c2da260a10bde21,AWAITING REVIEW,2023-12-06T20:12:15.115000Z,2023-12-06T20:24:40.950000Z,,2023-12-06T20:24:41.552612Z,746.0,COQ89QD3,291,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
6570d5bca13009a025c4088d,603ab6ce208b756898441c4b,AWAITING REVIEW,2023-12-06T20:12:50.546000Z,2023-12-06T20:21:56.368000Z,,2023-12-06T20:21:57.562142Z,546.0,COQ89QD3,967,45,Female,White,Ireland,United Kingdom,Ireland,English,No,Part-Time
6570d5f09825508acba1061e,64834ca600dfc800b8242f95,AWAITING REVIEW,2023-12-06T20:13:44.859000Z,2023-12-06T20:23:04.437000Z,,2023-12-06T20:23:04.939543Z,560.0,COQ89QD3,315,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6570d6ce8ecf605977c7acbf,5c87aa3539b9760017938cf2,AWAITING REVIEW,2023-12-06T20:17:24.050000Z,2023-12-06T20:24:26.675000Z,,2023-12-06T20:24:27.182850Z,423.0,COQ89QD3,1009,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
