Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65535f71ca89c467022e8a64,6122b9ffce05d8e56860755a,APPROVED,2023-11-14T11:52:25.988000Z,2023-11-14T12:00:51.825000Z,2023-11-15T19:38:39.423000Z,2023-11-14T12:00:52.308418Z,506.0,NOCODE,802,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65535f831d412d352b84fb1b,614fcba0d71b7a527a512011,APPROVED,2023-11-14T11:52:40.452000Z,2023-11-14T11:58:53.491000Z,2023-11-15T19:38:39.689000Z,2023-11-14T11:58:54.036009Z,374.0,COQ89QD3,314,44,Female,White,Canada,Canada,Canada,English,No,Full-Time
65535fa2f1d41ee5055c9bf0,613a53a559c2c14a692c570e,APPROVED,2023-11-14T11:53:10.673000Z,2023-11-14T11:59:43.377000Z,2023-11-15T19:38:39.864000Z,2023-11-14T11:59:43.938583Z,393.0,COQ89QD3,340,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65536009dd848db386ab7875,651ab68d111986ccad1d9130,APPROVED,2023-11-14T11:54:54.622000Z,2023-11-14T12:02:55.236000Z,2023-11-15T19:38:40.073000Z,2023-11-14T12:02:55.729863Z,481.0,COQ89QD3,40,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
655360644e8ec30ec0b9991f,5b71ea65a6ee690001abede0,APPROVED,2023-11-14T11:56:28.755000Z,2023-11-14T12:04:03.334000Z,2023-11-15T19:38:40.258000Z,2023-11-14T12:04:03.819824Z,455.0,COQ89QD3,375,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6553606c8d320902de413a7b,612241f2e121c7af36f3b6e0,APPROVED,2023-11-14T11:56:31.952000Z,2023-11-14T12:05:03.152000Z,2023-11-15T19:38:40.434000Z,2023-11-14T12:05:03.658046Z,512.0,COQ89QD3,999,41,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6553607edf5fdf6e7c58d9c9,65027449633105242bc57b92,APPROVED,2023-11-14T11:56:53.341000Z,2023-11-14T12:05:18.362000Z,2023-11-15T19:38:40.595000Z,2023-11-14T12:05:18.981172Z,506.0,COQ89QD3,52,48,Female,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655360801f2f5a49a294f0a8,60867f15c6327e78242c627c,APPROVED,2023-11-14T11:57:10.175000Z,2023-11-14T12:04:33.985000Z,2023-11-15T19:38:40.763000Z,2023-11-14T12:04:34.608431Z,444.0,COQ89QD3,1006,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
655360814afc71388f9e972a,5c5d16ab6ad0f00001cc0ca2,APPROVED,2023-11-14T11:56:59.253000Z,2023-11-14T12:04:53.971000Z,2023-11-15T19:38:40.918000Z,2023-11-14T12:04:54.502607Z,475.0,COQ89QD3,1370,55,Male,White,United States,Australia,United States,English,No,Other
65536085b685392749a3eef0,6547a6083115f6f868bca62b,APPROVED,2023-11-14T11:57:00.473000Z,2023-11-14T12:08:27.708000Z,2023-11-15T19:38:41.076000Z,2023-11-14T12:08:28.502871Z,688.0,NOCODE,6,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
